"abbreviation","name","country","is_local"
"AK","Alaska","US","0"
"AL","Alabama","US","0"
"AR","Arkansas","US","0"
"AZ","Arizona","US","0"
"CA","California","US","0"
"CO","Colorado","US","0"
"CT","Connecticut","US","0"
"DC","District of Columbia","US","1"
"DE","Delaware","US","1"
"FL","Florida","US","0"
"GA","Georgia","US","0"
"HI","Hawaii","US","0"
"IA","Iowa","US","0"
"ID","Idaho","US","0"
"IL","Illinois","US","0"
"IN","Indiana","US","0"
"KS","Kansas","US","0"
"KY","Kentucky","US","0"
"LA","Louisiana","US","0"
"MA","Massachusetts","US","0"
"MD","Maryland","US","1"
"ME","Maine","US","0"
"MI","Michigan","US","0"
"MN","Minnesota","US","0"
"MO","Missouri","US","0"
"MS","Mississippi","US","0"
"MT","Montana","US","0"
"NC","North Carolina","US","0"
"NE","Nebraska","US","0"
"ND","North Dakota","US","0"
"NH","New Hampshire","US","0"
"NJ","New Jersey","US","1"
"NM","New Mexico","US","0"
"NV","Nevada","US","0"
"NY","New York","US","1"
"OH","Ohio","US","0"
"OK","Oklahoma","US","0"
"OR","Oregon","US","0"
"PA","Pennsylvania","US","1"
"PR","Puerto Rico","US","0"
"RI","Rhode Island","US","0"
"SC","South Carolina","US","0"
"SD","South Dakota","US","0"
"TN","Tennessee","US","0"
"TX","Texas","US","0"
"UT","Utah","US","0"
"VA","Virginia","US","1"
"VT","Vermont","US","0"
"WA","Washington","US","0"
"WI","Wisconsin","US","0"
"WV","West Virginia","US","0"
"WY","Wyoming","US","0"
